Color Coding (Legend),Came for 2nd time hiring,Online,In Person,Hired 10 or more Students,,Didn't proceed with hiring process,,,Mass Hired (> 25),,Took interviews but did not hire anyone,
Note : Placements are still ongoing. The process started on 01 Aug 2025 - last updated on 12-Nov-2025,,,,,,,,,,,,
Company,Role,Internship,Compensation (LPA),,OA Date,Shortlisted Interview,Presentation,Placed,,,GPA Cutoff,Note
,,,Base,CTC,,,,Internship,FTE,Both,,
Guidewire,,70000,,,,"1st round - 07/10/2025
2nd rund - 11/10/2025",22/09/25,5,,,,
Societe General,Software Engineer,35000,11,12.21,,23/09/25,,,,11,,
,Data Science,,,,,,,,,,,
,Cybersecurity Analyst,,,,,,,,,1,,
Commonwealth Bank of Australia,,,10.56,12.35,25/09/25,30/09/25,,,15,,,
Nvidia,Software Engineer Intern,80000,,33.46,24/09/25,,,,,1,,CTC inclusive of equity
,Hardware Engineer Intern,,,,,,,,,,,
Epsilon,,30000,11.2,12,,30/09/25,29/09/25,,,2,,
Philips,Software Intern,45000,11.5,14.5,,,,,,,,
,CyberSecurity,,,,,,,,,,,
HPE,IT Solution Mgr,40000,13,18,30/09/25,06/10/25,06/10/25,,2,13,,"Base varies from 12-14 based on specific roles
Eg SWE 12.5 , ML roles 14 , testing 12"
HPE (Juniper),COO,40000,12,17.5,30/10/25,,,,,,,
,MIST (AIDE),,,,,,,,,,,
Dezerv,Software Engineer,75000,15,22.5,08/10/25,09/10/25,08/10/25,,,,,"CTC inclusive of ESOPs worth 2.5 lakhs

OA was not DSA round . They asked to build components in full stack application using React , NodeJS and MongoDB in 1.5hr."
Razorpay,SDE - Backend,75000,18,35,12/10/25,,,,,,,"CTC inclusive of ESOPs worth 15 lakhs + 
2 Joining Bonus"
,Data Engineer,,,,,,,2,,,,
Boomi Software,Software Engineering Intern,40000,,14,11/10/25,,11/10/25,4,,,,
Inmobi,Software Development Engineer,55000,24,39,10/10/25,11/10/25,10/10/25,,,5,,"24 is bascially the CTC, the remaining amnt is the bonus over 3 years"
Netapp,MTS Intern - QA,50000,18,21,04/10/25,10/10/25,,1,,,,"Interview was at Netapp Office (Blr- Hoodi) 
PESU (2) => 1 B.tech + 1 M.tech (PBC)
 RVCE (2) => 1 B.tech + 1 M.tech (PBC)"
Baxter,,30000,9.9,12,24/10/25,24/10/25,,,,2,,
eLitmus,Software Developer,,,12,30/10/25,30/10/25,,,,,,
Aveva,,50000,16.3,19,14/10/25,15/10/25,,,,5,,Job Location Hyderabad
4GoodAI,,,,12,11/10/25,12/10/25,,,,,,
RELX Group,Software Engineer,,8.93,13.19,,,25/10/25,,,,,"Full Time Role only. Hire at 8,93,520 and as part of accelerated compensation the compensation can go up to 13,19,840 within a year "
ZS Associates,Business Technology Solutions Associate,,9,14.15,25/11/25,30/11/25,,,17,,,"Apart from given CTC, this is an entire section for medical insurance given separately"
Mysa,Software Engineer Intern,60000,15,20,No OA,24/10/25,,1,,,,Coming only for internship. Has PBC
Ather Energy,GET Product Mgmt,30000,,15,,,,1,,1,,
,GET Application Developer,,,,,,,,,,,
,GET FrontEnd,,,,,,,,,1,,
,GET Circuits Team,,,12,,,,,,,,
,GET Hardware Peripherals,,,,,,,,,,,
,GET System Engineer,,,,,,,2,,1,,
Thorogood,Data & AI Consultant,45000,10,14.81,03/11/25,05/11/25,,2,,2,,"After shortlisted interview they had offline drive 
at office on 7/11/2025. It had 4 rounds"
Zerodha,SDE 1,70000,20.5,32,,,,,1,1,9.1,Shorlisted based on GPA and Resume
Bottomline,Trainee Engineer,50000,12.26,14,07/11/25,07/11/25,,,,8,8,
Genpact,Business Analyst,,10,12,,,,,,,,Only FTE Hiring
Conga,,12000,12,12.9,,,,,,,,
Expedia,ML Engineer 1,,18,,,,,,,,,Additional $15000 Stock options and $5000 relocation bonus if applicable
Renesas Electronics India,Digital Design Engineer,,,23.1,16/11/25,16/11/25,,,,,,FTE Only. Came for ECE & EEE only
,Digital Verification Engineer,,,,,,,,,,,
,Digital Validation Engineer,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Visited,81,,,,,,Total Placed(T1),102,65,312,,
,,,,,,,Grand Total,479,,,,
,,,,,,,,,,,,
Highest CTC,60,Highest Base,26,Companies with 10+ Recruitment,,15,,,,,,
 Average CTC,21.46,Average Base,15.09,,,,,,,,,
Median CTC,19,Median Base,14,Mass Recruitment Companies,,2,,,,,,
Wt. Average CTC,18.16,Wt. Average Base,12.15,Companies that ditched so far,,6,,,,,,
Wt. Median CTC,18.5,Wt. Median Base,16.3,,,,,,,,,
