,TIER 1,,,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,# Jobs Offered,,,Placement Dates,,,"CGPA 
Cut-off",Additional Comments
,,,Internship,Base,CTC,FTE Only,FTE + Intern,Intern only,PPT,Test Date,Interview,,
,,Software Engineer - 1,,,16.02,-,1,-,,,,,
,,Software Engineer - 2,,,20.1,-,0,-,,,,,
56,Oracle,Member Technical Staff,,13.94,20.97,7,,,26-09-2022,22-09-2022,26-09-2022,,
57,Info Edge,Software Engineer,,13.05,14.5,,,,23-09-2022,23-09-2022,,,
58,Ather Energy,Firmware Engineer,,12,15,-,4,-,26-09-2022,21-09-2022,26-09-2022,,
60,Juspay Technology,SDE,40k,,27,,,,,,,,
,,Product Engineer,,,21,,,,,,,,
61,Amazon,,,16.5,25?,Company Arrival Postponed,,,11-10-2022,12-10-2022,21-10-2022,,Hiring Freeze
62,Affinsys,Software Engineer Team 1,30k,,14,,2,,26-09-2022,27-09-2022,30-09-2022,,
63,Swymn Technologies,Associate Software Engineer,35k,,17,,,,04-10-2022,04/06-10-2022,06/07-10-2022,,
,,Customer Support Engineer,35k,,14,,,,,,,,
64,CynLr,Design & Development,30k,,9-15,,,,,,,,
65,Hiver,Software Development Engineer,21.5k,7-10,14,-,5,-,,23-09-2022,24-09-2022,,
66,Newfold Digital,Database Administrator,50k,12,15,,,,28-09-2022,29-09-2022,29-09-2022,,
68,Fidelity Investments,Full Stack Engineer,35k,,12,-,6,-,,10-10-2022,19-10-2022,,
69,PayPal,Software Engineer,1L,15,34.4,,,,06-10-2022,10-10-2022,,7.5,
70,McKinsey & Co.,Junior Engineer/Analyst,75k,10.91,12,,4,,03-10-2022,01-10-2022,07-10-2022,,Internship stipend includes PF
71,Nvidia,Hardware Engineering Intern,75k,,,-,-,,,09-10-2022,,8,Only internship
72,Arcesium,Software Engineer Intern,1L ,,,-,-,5,11-10-2022,11-10-2022,12-10-2022,"CS - 7, 
Non-CS - 8",Only internship + Benefits of approx 1L
73,Zee Entertainment,Associate Software Development Engineer,35k,6.3,14,,,,14-10-2022,14-10-2022,18-10-2022,7,
,,Cybersecurity Analyst,35k,6.3,14,,,,,,,,
74,Western Digital,,,,19,,,,,16-10-2022,18-10-2022,,
75,Dish Network Technologies,Engineer,25k,12,13.98,,6,,12-10-2022,12-10-2022,13-10-2022,7.5,Final cutoff - 8.4
76,Natwest Group,Software Engineer,,13,> 13,20,,,20-10-2022,16-10-2022,21-10-2022,6,CTC = base + performance bonus + gratuity + benefits
77,Expedia Group,Mobile Engineering,35k,12.1,40,,3,,,,,,
78,Cohesity,,,15,39.54,1,3,1,22-10-2022,22-10-2022,26-10-2022,8,
79,Kickdrum,Software Developer,35k,10,14.86,,,,26-10-2022,26-10-2022,27-10-2022,8,
80,Lookout India Technologies,Software Engineer,,12,12.88,5,,,18-10-2022,18-10-2022,20-10-2022,7,
81,Juniper Networks,Software Engineer 1,40k,,14,,2,4,,,,,
82,GE Healthcare,SDE/SDET,40k,,15.11,,,,,,,,
83,Hevodata,,50k,11,25,,,2,,,,,
84,logmein (GoTo),,45k,12.5,20.65,,4,2,,,,8,
85,Whatfix,,45k,13,15,,,,,10-11-2022,12-11-2022,,interview held at whatfix office in hsr
86,Target,Data Engineer,30k,12,15.3,,,,14-11-2022,19-11-2022,23-11-2022,6.5,women only drive
87,Bluebird,Software Engineer,20-30k,,15,,,,,,,7,
88,Trinet Zenefits,Software Engineer,45k,,12-15,,,,,,,8,
89,Supermind,,25k,,15-22,,,,,,,,Startup- 14 member team
90,Landmark,Frontend/ Backend/ Automation Engineer,,,15,1,,,,,,,
91,Cashfree,SDE(Frontend)/SDET,35k,10,14.5,,,,,,,,"CS/Minor in CS grads only eligible, GPA cutoff-8"
92,Tredence Analytics,Analyst,,7.44,12,4,,,9-12-2022,9-12-2022,12-02-2022,7,
