year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2025,Tier 1,American Express,Engineer Trainee - Software,100000.0,,13.87,7,,,1.0,,13.87,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Licious,Software Engineer,40000.0,,12,,,,0.4,,12.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Cars24,Software Development Engineer,30000.0,,11.4,8,,,0.3,,11.4,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,ConSecure,Software Engineer - NextGen Intelligence,25000.0,,,7.5,,,0.25,,,7.5,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Netcore,Associate Software Engineer,15000.0,,,6,,,0.15,,,6.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Media.net,Site Reliability Engineer,,,13,6,,,,,13.0,6.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Gameberry Labs,Software Development Engineer,50000.0,,13,8.5,,,0.5,,13.0,8.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Amagi,Product Software Engineer,,,15.17,,,,,,15.17,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Consuma,Software Engineer (Backend),35000.0,,9,6.5,,,0.35,,9.0,6.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Truva,Software Engineer,60000.0,,13,7.5,,,0.6,,13.0,7.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Cleartrip,Software Development Engineer - 1,100000.0,,18,7.5,,,1.0,,18.0,7.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Logik,Software Development Engineer,35000.0,,,,,,0.35,,,,True,False,False,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Gigsky,Software Engineer,40000.0,,14,8,,,0.4,,14.0,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,MakeMyTrip,Software Engineer,50000.0,,12,7,,,0.5,,12.0,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,McKesson,Software Development Engineer (Data),60000.0,,,7.5,,,0.6,,,7.5,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Cimpress,Software Engineer,45000.0,,,7,,,0.45,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Palo Alto Networks,Software Engineer,100000.0,,14,7.5,,,1.0,,14.0,7.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Akamai Technologies,Software Engineer,35000.0,,14.36,7,,,0.35,,14.36,7.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,DealShare,Software Development Engineer,50000.0,,13,8,,,0.5,,13.0,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Körber,Software Engineer,50000.0,,11.26,7.9,,,0.5,,11.26,7.9,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Tesco,Graduate Engineer,,,18,8,,,,,18.0,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Multiplier,Associate Software Engineer,80000.0,,15,8,,,0.8,,15.0,8.0,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Sandvine,Software Engineer,,,12.5,8.5,,,,,12.5,8.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Commonwealth Bank of Australia,Graduate Software Engineer,,,,8,,,,,,8.0,False,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Rapido,Associate Product Engineer,,,15,8,,,,,15.0,8.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,BitGo,Software Engineer,42000.0,,15,,,,0.42,,15.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Qest,Software Engineer,30000.0,,7.2,,,,0.3,,7.2,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,ABB,Associate Software Engineer (Analytics),,,10,7.5,,,,,10.0,7.5,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,OneCap,Software Development Engineer,25000.0,,6,,,,0.25,,6.0,,True,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Wokelo,Data Scientist,25000.0,,15,7.5,,,0.25,,15.0,7.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Serko,Software Engineer,50000.0,,,6,,,0.5,,,6.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Candescent,Software Engineer,30000.0,,,7,,,0.3,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,WNS Analytics,Analyst,,,10,,,,,,10.0,,False,False,True,False,,2025-11-20 12:24:21.034360
2025,Tier 1,Tredence,Data Analyst,,,,7,,,,,,7.0,False,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 1,Rakuten,Software Engineer,30000.0,,,7.5,,,0.3,,,7.5,True,False,False,True,,2025-11-20 12:24:21.034360
