,,,,,,,,,,,,
,Tier - 2,,,,,,,,,,,
,Name,Job Title,Compensation,,,FTE,FTE+Intern,Intern,PPT,Test Date,Interview,Additional Information
,,,Internship Stipend,Base,CTC,,,,,,,
93,WNS Global Services,"Data Engineering /
 Ingestion Team",-,,5,,,,,,,
,,Campaigns Team,,,,,,,,,,
94,Sigma OSS Systems,Associate Business Analyst,-,,5.5,,,,,,,
95,Piramal Group,Graduate Engineer Trainee,-,,6.8,,,,,,,
96,"ECom Shopping 
Solutions LLP",Web Development,-,,6,,,,,,,
97,GE Healthcare,Software Engineer,-,,7,,,,,,,
,,Quality Assurance,,,,,,,,,,
98,Larsen & Toubro,Graduate Engineer Trainee,-,,6,,,,,,,
99,Aakash Institute,Teacher,-,,7.25 - 9.5,,,,,,,
100,Federal Bank,"Associate in Non-Officer 
(Clerical) Cadre for 
Branch Banking Role",-,,5.41,,,,21-04-22,21-04-22,"25-04-22
26-04-22",
101,Alshaya,Application systems engineer,-,,7.6,,,,18-04-22,18-04-22,"18-04-22
19-04-22",
102,Magna Electronics,Trainee Engineer,-,,5.5,,,,04-05-22,04-05-22,04-05-22,
103,TEK Systems,Candidate Manager,-,4.5,7.5,,,,28-05-22,28-05-22,28-05-22,
104,L&T Financial Services,Test Automation Engineer,-,5.4,6,,,,,,,
,,Software Developer,,,,,,,,,,
,,Data Engineer,,,,,,,,,,
105,Phable,Software Engineer,-,8,8,,,,,,,
106,Indegene,Analysts,-,,5.5,,,,,,,
107,Intersoft,Software Engineer,-,,7,,,,,,,
108,Codeyoung,Software Engineer,18k,4.36,7.36,,,,,,,
109,"Augmont  GoldTech  
Private Limited",Software Developer,-,,6,,,,,,,
110,Hevo Data,Technical Writer,-,,9,,,,,,,
,,"Sales Development
 Representative",,6,8.5,3,,,,,,
111,LatentView Analytics,Analyst L1 Entry,-,6,6.5,,,,,,,
,,Analyst L1 High,-,8.2,9,,,,,,,
112,Cambium Networks,Software Engineer,-,,6 + bonus,,,,,26-04-22,,
113,Tata Elxsi ,Engineer ,-,,5.5 or 3.5,,,,,,,"5.5 For RR campus
3.5 For other campus'"
114,"Bitslash Technologies
(Factors.ai)",Software Engineer,-,7.5,8,,,,,,,
115,Dyeus,Frontend Developer,30k,,6 - 9,,,,,,,
116,Carestack ,DevOps Engineer,-,,7 - 8,,,,,,,
,,Product Engineer,,,,,,,,,,
,,Product Implementation,,,,,,,,,,
117,Novo Nordisk,"Associate Clinical 
Data Programmer",-,,6 - 7,,,,,,,
118,Ecolab Digital Center,Trainee – Software developer,-,,9,,,,,,,
,,Design Engineers,,,,,,,,,,
119,Publicis Sapient,Junior Associate Technology,-,,5.1,,,,,,,
120,Infrrd,Trainee Software Engineer,-,,6.5,,,,,,,
121,Flexera,Associate Software Engineer,-,,8,,,,,,,
122,ATOS Origin,Junior Associate,-,,7 - 8,,,,,,,
123,Greenlight Planet,Software Engineer,-,,8,,,,,,,
,,Analyst,,,,,,,,,,
124,Page Industries,Master Data,,,7.75,,,,,,,
,,Retail Transformation,,,,,,,,,,
,,Front End,,,,,,,,,,
,,Analyst,,,,,,,,,,
125,Cambium Networks,Software Engineer,-,,6,,,,,,,
126,Toshiba,Trainee Engineer,-,,6.5,,,,18-06-22,,,
127,Nokia,Graduate Engineer Trainee,-,,8.2,,,,,,,
128,Kestone,Junior Developer,-,,8,,,,,,,
129,LogisticsNow,Full Stack Developer,-,,5 - 8,,,,,,,"Salary based on interview 
performance"
130,InMobi,Analyst,-,,8.5,,,,,,,
131,Flock,Product Support Engineer,-,5.5,6,,,,,,,
