Blue - ONCAMPUS tests,,,,"Tier1 (T1) Offers - >12 Lpa CTC, Once Offer given student has to opt out from Placements EXCEPT for DREAM Offers (>60lpa) which will be mentioned in mail",,,,,,,,
Yellow - Resume Shortlisting / No OA - Direct Interview,,,,"Tier2 (T2) Offer - >=6 & <12 Lpa, Student with this offer can continue to sit for T1 Companies (while holding this offer)",,,,,,,,
Green - Dream Offer (>60lpa),,,,"Tier3 (T3) Offer - < 6 Lpa, Student can sit for T2 & T1 Companies (while holding this offer)",,,,,,,,
Red - Mass Hirers ( >= 20 offers),,,,"Dream Offer - >60 LPA, Every student who clears company eligibility is allowed to sit for these, irrespective of having any Offer.",,,,,,,,
Purple - Companies which returned Back for another round of Hiring ,,,,,,,,,,,,
T1 (FTE+Intern) Offers (People with Single Offers),,,,342,,Total Offers,,,844,,,
"Other Offers (People with Multiple Offers, can continue to sit for placements)",,,,502,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Company,Date of OA,Offline Test,Tier,CTC,Role,Type,Total Offers,CGPA cutoff,Allows ECE,MCA,MTech (CS),Any comments/questions/topics asked 
Goldman Sachs (T2),10/9/24,FALSE,Tier 2,"8.75 CTC, 60k Intern",Seasonal Analyst Intern,Internship (PBC),8 (Intern only),6.5,FALSE,FALSE,FALSE,
Signify Innovation Lab ,1/10/24,FALSE,Tier 1,"13 CTC (11 Base), 30k Intern",Assistant Development Engineer,FTE + Intern,2,9,FALSE,FALSE,FALSE,"Selected 15 girls for direct interview, Offered jobs to 2 ppl"
Eurofins (T2),18/9/24,TRUE,Tier 2,"10 CTC, 75k Joining Bonus",Associate Software Engineer,FTE,9,6.5,FALSE,FALSE,FALSE,
Urban Company,14/9/24,FALSE,Tier 1,22 CTC (16 Base),SDE 1,FTE + Intern,2,7,FALSE,FALSE,FALSE,
IBM (2nd Visit) - Cloud Role,18/9/24,FALSE,Tier 1,"17 CTC, 30k Intern",SDE (Cloud),FTE + Intern,2,7,FALSE,FALSE,FALSE,2nd Visit
Tejas Networks (T2),20/9/24,TRUE,Tier 2,"10 CTC, 30k Intern","SW, HW and NMS",FTE + Intern,"5 (3 SW,2 HW,0 NMS)",7.5,FALSE,FALSE,FALSE,"Shortlisted 11 for Embedded SE role, 6 for HW role (ECE), 6 for Java NMS role. Programming languages were fixed for those particular test (Cpp only for Embedded, etc.)"
StockX (Product Mang Role),20/9/24,FALSE,Tier 1,,,,,,FALSE,FALSE,FALSE,
Superjoin.ai,20/9/24,FALSE,Tier 1,16 CTC (11 Base),,,1,,FALSE,FALSE,FALSE,
HPE (2nd Visit) (Only Selected Students),27/9/24,FALSE,Tier 1,"17.5 CTC, 40k Intern",,FTE + Intern,7,---,FALSE,FALSE,FALSE,
Coinbase,21/9/24,FALSE,Tier 1,1L/month Stipend,SDE,Internship (PBC),0,8,FALSE,FALSE,FALSE,
Nvidia,25/9/24,FALSE,Tier 1,80k Internship Stiped,Hardware Engineering Intern,Internship (PBC),0,8,FALSE,FALSE,FALSE,
Samsung Semiconductors,23/9/24,FALSE,Tier 1,"19 CTC, 50k","SW(Embd),HW(Dig,Analog)",Internship (PBC),"8 (5 HW, 3 Analog (ECE), 0 SW(CS)",7,FALSE,FALSE,FALSE,"Initally was FTE+Int, but hired only Interns, Coding questions strictly to be coded in C Language itself, Shortlisted 6 for Embd (CSE), 7 for Dig & 5 for Analog (ECE), Virtual Interviews Conducted"
NXP Semiconductors,23/9/24,FALSE,Tier 1,"22.5 LPA, 42.5k intern","Embedded, Digital, Analog",FTE + Intern,1,7.5,FALSE,FALSE,FALSE,
Dish Network ,19/9/24,TRUE,Tier 1,"14.1 LPA, 25k intern",SDE,FTE + Intern,4,8.5+,FALSE,FALSE,FALSE,Shortlisted 22 People
Apple Internship (only for Pre-Listed students),27/9/24,FALSE,Tier 1,80k Intern,"Ai-ML, SDE",Internship (PBC),0,9+,FALSE,FALSE,FALSE,Shortlisted 4 PPL for Data Science (ML) role and 8 for Software Dev Engineering role
GuideWire,18/10/24,TRUE,Tier 1,70k Internship Stipend,SDE 1,Internship (PBC),6,8,FALSE,FALSE,FALSE,"12 Shortlisted for Interview, Interview rounds very Basic (Recursion/dp problem asked)"
KPMG (T3),21/9/24,FALSE,Tier 2,"7 CTC, 20k Stipend","4 Roles - Digital Next, Digital Trust, TT DEQ, GRCS Telecom",FTE + Intern,"20 (2 DN, 3 DEQ, 4 GRCS, 11 DT)",,FALSE,FALSE,FALSE,
SAP Labs,24/9/24,FALSE,Tier 1,"25 CTC (10 Base + 3.5L Stocks), 35k Intern",Associate - (Developer /DevOps /Support/QA),FTE + Intern,10,7,FALSE,FALSE,FALSE,"Shortlisted 66 PPL for interviews, 4 Rounds of Interview, Most of the Selected PPL interviews happened back to back, while the others did not get a chance to Interview for 3rd Round also"
Toshiba,27/9/24,TRUE,Tier 2,"11 CTC (9 Base), 20k Intern",Associate Software Engineer,FTE + Intern,7,7,FALSE,FALSE,FALSE,
BT Group,30/9/24,FALSE,Tier 1,"13 LPA + 1.5L JB + 2L RB, 60k intern",,FTE + Intern,10,8.5,FALSE,FALSE,FALSE,
Accenture (T2),30/9/24,FALSE,Tier 3,4 LPA,,FTE,,6,FALSE,FALSE,FALSE,
Dover (T2),30/9/24,FALSE,Tier 2,"11 LPA, 25k intern",Software Engineer,FTE + Intern,2,8,FALSE,FALSE,FALSE,
Aveva,8/10/24,TRUE,Tier 1,15.8 LPA,Software Developer Graduate,FTE + Intern,4,8.5+,FALSE,FALSE,FALSE,
Fidelity International (T2),16/10/24,FALSE,Tier 2,"9 CTC, 8 Base",Graduate Programmer,FTE + Intern,,7,FALSE,FALSE,FALSE,
Oracle Financial Services Ltd,25/9/24,FALSE,Tier 1,"19.18 LPA  + 20k USD RSU vested over 4 years, 50k intern ",,FTE + Intern,6,8,FALSE,FALSE,FALSE,"Shortlisted 30 ppl for Interview, Interviews went same Like SAP lab style"
ZScaler,29/9/24,FALSE,Tier 1,75k Internship Stipend (6 months),Intern - Software Development,Internship (PBC),1,7,FALSE,FALSE,FALSE,"Asked 2 DSA (C++/Java) and 2 Core Python questions (1 File handling/CSV handling, 1 DSA)"
Komprise,25/9/24,FALSE,Tier 1,"SDE - 22 CTC (17 Base), STE - 20 CTC (15 Base)","SDE, STE",FTE + Intern,3 (2 SDE 1 SDET),8,FALSE,FALSE,FALSE,
Crestron (T2),23/9/24,FALSE,Tier 2,"8 LPA, 30k Intern","7 Roles - Firmware Developer, Front End Developer, Cloud Developer, Cloud DevOps Engineer, Quality Engineer, Automation (SDET), Security Testing, Cloud Testing",FTE + Intern,,,FALSE,FALSE,FALSE,
Telstra (T2),4/10/24,FALSE,Tier 2,10 LPA,,FTE,10,8.5+,FALSE,FALSE,FALSE,
iNube Software Solutions ,8/10/24,FALSE,Tier 1,"12 CTC, 30k Intern",Software Analyst,FTE + Intern,3,8.5,FALSE,FALSE,FALSE,
McKinsey & Co,28/9/24,FALSE,Tier 1,"12 CTC, 20k Intern",Analyst Role,FTE + Intern,3,7.5,FALSE,FALSE,FALSE,
Renesas,30/10/24,FALSE,Tier 1,"24 LPA, 15 Base, 45k Intern","Verification Engineer, Analog Circuit Engineer","FTE + Intern, Internship (PBC)","5 (4 Intern, 1 FTE + Intern)",8+,FALSE,FALSE,FALSE,
Broadridge (T2) (Female Only),28/10/24,FALSE,Tier 2,"10 CTC, 30k Intern",,FTE + Intern,5,8+,FALSE,FALSE,FALSE,
Safran Technologies (T3),7/11/24,FALSE,Tier 3,"5L (CS,ECE) - 4.5L (Mech)",,FTE,,6.5,FALSE,FALSE,FALSE,
Boomi Software,19/10/24,FALSE,Tier 1,35k Intern,"SE Intern, Systems Intern, Solution Eng Intern",Internship (PBC),6,8,FALSE,FALSE,FALSE,
Conga Software,19/10/24,FALSE,Tier 2,"10.44 LPA, 12k intern",,FTE + Intern,,,FALSE,FALSE,FALSE,
e-Litmus,19/10/24,FALSE,Tier 1,"12 LPA, 29k intern",Software Developer,FTE + Intern,,8,FALSE,FALSE,FALSE,
IDfy (T2),6/11/24,FALSE,Tier 2,"10 CTC, 25k Intern",Software Engineer,FTE + Intern,1,6,FALSE,FALSE,FALSE,
Johns Lang LaSalle Technology (JLLT),4/10/24,TRUE,Tier 2,"8 LPA, 35K Internship",SDE Intern,Internship (PBC),9,8,FALSE,FALSE,FALSE,"Shortlisted 70 for GD, 24 Shortlisted for 1st interview. 2 rounds in total (Tech, Hr). SQL, Python asked. OA was Aptitude, SQL Mcqs, python mcqs"
Volvo (T2),19/10/24,FALSE,Tier 2,7.5 LPA Fixed + Variable Pay + Medical Insurance ,,,,,FALSE,FALSE,FALSE,
Dezerv,5/10/24,FALSE,Tier 1,"16 CTC(15 Base) ,75k Intern",Software Engineer,FTE + Intern,5,8.5,FALSE,FALSE,FALSE,
Confluent,16/10/24,FALSE,Tier 1,"1L per month (DE, BI), 75k per month (other 2)",4 Roles (Data Engineering Intern Business Intelligence Intern Cloud Infrastructure Engineer Intern Applications Engineer Intern),Internship (PBC),"6 (2 DE,2 BI,1 CI ,1 AE)",,FALSE,FALSE,FALSE,
Apple India (for 2 roles),20/9/24,FALSE,Tier 1,80k per month,"2 Roles - Wireless Engineering Intern, Software Engineering & Machine Learning Intern",Internship (PBC),"2 (1 CS - SDE, 1 ECE - Wirels)",,FALSE,FALSE,FALSE,
Cars24,18/10/2024,TRUE,Tier 1,"12 CTC, 10 Base, 30k intern",SDE 1,FTE + Intern,15,8,FALSE,FALSE,FALSE,"Special Shortlist made, OA, 2 rounds interview. Increased Package from 10CTC to 12 CTC thus making it T1 later"
MediBuddy,5/10/24,FALSE,Tier 1,25k Intern,SDE Intern,Internship (PBC),0,8.5,FALSE,FALSE,FALSE,
Aruva.io,5/10/24,FALSE,,,,,,,FALSE,FALSE,FALSE,
Deloitte India,16/10/24,FALSE,Tier 2,"7.6 LPA, 25k intern",6 Roles,FTE + Intern,31,6,FALSE,FALSE,FALSE,
Thorogood Associates,5/10/24,FALSE,Tier 1,"14.81 CTC, 8 Base, 1.5L JB",Data & Ai Consultant (Data Cleaning),FTE,2,8,FALSE,FALSE,FALSE,
