,,,,,,,
Total Placed (CSE) ,,162,RVCE,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Company,Date of OA,CTC,Type,Offers (CSE only),Role,Any comments/questions/topics asked ,
Prime Numbers,11/9/2024,"12 LPA, 3L stocks, 30k stipend",FTE + Internship (PBC) ,0,SDE1: Python Data Backend Intern,,
Cognizant,,"GenC - 4 LPA, GenC Pro - 5.4 LPA, GenC Next - 6.75 LPA",FTE + Internship,0,Software ,,
Arctic Wolf,,"20 LPA, 60k intern",FTE + Internship ,2,Software Development and ML Engineer ,27 shortlisted for inteviews,
Eli Lilly,,"11 LPA, 30k intern",FTE + Internship,0,Data Analyst related ,,
Samsung ,12/9/2024,"21 LPA, 50k intern",FTE + Internship,0,"Hardware: Analog, Digital ; Software : Embedded and Chip",19 shortlisted for interviews ,
Volvo,11/9/2024,7.5 LPA Fixed + Variable Pay + Medical Insurance ,FTE,0,Associate Graduate Engineer,,
Texas Instruments,09/09/2024,,,0,Product Marketing Engineer (PME),,
Whatfix,17/09/2024 ,"EMEA Shift :10 LPA, North America Shift - 12.5 LPA, 35k intern",FTE + Internship (PBC) ,0,"Technical Support Engineer, Solutions Engineer, Sales Engineer",53 shortlisted for interviews,
RT Camp,,"6 LPA during training, 12 LPA upon confirmation, 50k intern",FTE + Internship (PBC) ,0,WordPress Engineer (Trainee),,
Qnance,6/10/2024,"15 LPA, 70k intern",FTE + Internship (PBC) ,1,Software Developer,"Shortlisted 20 for OA. 2 rounds of OA, 10 for interviews",
NXP Semiconductors,11/9/2024,"22.5 LPA, 42.5k intern",FTE + Internship ,0,"Embedded, Digital, Analog",43 shortlisted for interviews,
Athena Health,12/9/2024,"13.3 LPA, 45k intern",FTE + Internship (PBC) ,0,,29 shortlisted for interviews,
Evertz,4/10/2024,"8 LPA, 20k intern",FTE + Internship (PBC) ,0,Core related ,,
Ather Energy,,"12 LPA, 30k intern",FTE + Internship (PBC) ,0,,,
Boeing,18/9/2024,10.88 LPA,FTE ,0,"Software Engineer, Electronics Design and Analysis Engineer",,
Oracle,13/9/2024,50k intern,FTE + Internship (PBC) ,0,Project Intern,oa format similar to previous test,
IBM,18/9/2024,"17 LPA + 1.5L JB, 30k intern",FTE + Internship,2,Software Developer,,
Creston,,"8-12 LPA, 30k intern",FTE + Internship (PBC) ,2,"SDET, Cloud developer, Cloud testing, UI Developer",54 shortlisted for interviews,
Qualcomm,20/9/2024,19.65 LPA,FTE + Internship (PBC) ,0,Hardware ,"Only ece, eee eligible",
Infineon,20/9/2024,17 LPA,FTE + Internship ,0,Hardware ,"Only ece, eee eligible",
Searce,,10-13 LPA ,FTE,0,"Strategy and Ops Consultant, Data Engineer, ML Engineer, Cloud Engineer, Cloud Consultant, Software Engineer, Applied AI Practice, Cloud Reliability Engineer ",35 shortlisted for interviews,
HPE,27/09/2024,"17.5 LPA, 40k intern",FTE + Internship ,1,"Software Development, Software Automation and Quality Assurance",30 shortlisted for interviews,
NVIDIA,22/9/2024,"29 LPA, 75k intern",FTE + Internship (PBC) ,0,Hardware ,,
Accolite Digital,1/10/2024,"8 LPA, 20k intern","FTE, FTE + Internship",0,Software Engineer,,
NucleusTeq,25/09/2024,7 LPA,FTE,0,Software Engineer,30 shortlisted for interviews,
Eightfold AI,,"38 LPA, 50k intern",FTE + Internship ,0,QA Intern,5 shortlisted for interviews,
British Telecom,9/10/2024,"13 LPA + 1.5L JB + 2L RB, 60k intern",FTE + Internship,1,Graduate Engineer Trainee,23 shortlisted for interviews,
Honeywell,28/09/2024,"8 LPA + 1L JB, 30k intern",FTE + Internship (PBC) ,0,"System Engineer, Embedded Engineer, Hardware Engineer, Software Engineer",88 shortlisted,
Aptus Data Labs,7/10/2024,"7.5 - 9 LPA, 10-15k intern",FTE + Internship (PBC) ,0,"Data Engineer, AI Engineer, Software Engineer, Mobile App Developer",,
Advisor 360,,9 LPA + 10% variable,FTE,1,Software Engineer 1 ,2 shortlisted for interviews,
Confluent,14/10/2024,"12.6 LPA, 75k intern",FTE + Internship (PBC) ,2,Business Systems Intern,23 shortlisted,
JLL,27/09/2024,8 LPA,FTE + Internship (PBC) ,0,Software Engineer,,
eLitmus,17/10/2024,"12 LPA, 29k intern",FTE + Internship,0,Software Developer,,
Juniper Networks,25/10/2024,"15.5 LPA, 42k intern",FTE + Internship (PBC) ,1,COO Intern,40 shortlisted ,
Telstra,28/09/2024,10 LPA,FTE,1,Software Engineering Associate,,
Thermofisher,,12.95 LPA,FTE,0,"For Circuital Branches: Software Engineering ETO Band 4, Software Engineering 1,For Biotech: Software Test Engineer",,
TresVista,4/10/2024,10.07 LPA,FTE,0,Analyst DIG,,
Tejas Networks,7/10/2024,"10 LPA, 30k intern",FTE + Internship,0,"Java engineering, Hardware Engineering",,
Fractal Analytics,15/10/2024,7.5 LPA + 2L JB,FTE,0,Imagineer,,
Mphasis,,6 LPA,FTE,0,Software,,
Zebra Technologies,,"11 LPA, 33.6k intern",FTE + Internship (PBC) ,0,,,
Conga,,"10.44 LPA, 12k intern",FTE + Internship,0,Project Trainee,,
Dezerv,18/10/2024,17 LPA,FTE,0,Full stack,12 shortlisted,
Kinaxis,9/10/2024,"14 LPA, 50k intern",FTE + Internship,0,Associate Software Developer - Java developer,,
Cimpress,,"12 LPA, 35k intern",FTE + Internship (PBC) ,0,Software Engineering intern,,
Aptiv,,"8.5 LPA, 25k intern",FTE + Internship ,0,Associate Embedded Software Engineer ,,
Amazon,,"26.35 LPA (10.46L base, 3.5L JB + 3.2L RB, 9.14L RSU), 50k intern ",FTE + Internship,0,AWS Cloud Support Associate,15 shortlisted,
SMC India,,15 LPA,FTE,0,HFT Infra Developer,,
Polaris,16/10/2024,8.5 LPA,FTE,0,Software,,
Licious,28/10/2024,"16 LPA, 40k intern",FTE + Internship,4,SDE 1,24 shortlisted,
Aveva ,21/10/2024,15.8 LPA,FTE,1,"Software Developer Graduate, IT Business Analyst",28 shortlisted,
Nvidia ,16/10/2024,"29 LPA, 80k intern",FTE + Internship (PBC) ,0,System Software Engineer,3 shortlisted,
Deloitte,15/10/2024,"7.6 LPA, 25k intern",FTE + Internship,0,"Technology and Transformation - Cyber, Application, Data Modernization and Migration Analyst, Technology and Transformation - Engineering, AI and Data, PDI and CMS, Analyst, Technology and Transformation - Deloitte Digital (Marketing and Commerce), Analyst, Technology and Transformation - ET&P : Oracle, Analyst.",14 shortlisted for interviews,
Media.net,17/10/2024,15.67 LPA,FTE + Internship,0,SRE ,"1 aptitude round, 1 machine coding round, 2 tech rounds followed by HR. 123 shortlisted from aptitude test",
HashedIn,21/10/2024,"8.1 LPA, 25k intern",FTE + Internship (PBC) ,0,SDE 1,,
Qualcomm,,,FTE + Internship,0,Infra IP (Embedded Team),15 shortlisted for interviews,
Societe Generale,21/10/2024,12.2 LPA ,FTE,0,Associate Data Scientist,,
FIS,,9.7 LPA,FTE,0,IT Trainee,20 shortlisted for interviews,
Western Digital,22/10/2024,"19.15 LPA, 35k intern",FTE + Internship,0,Hardware,,
UD Trucks ,6/11/2024,"7.5 LPA, 25k intern",FTE + Internship,0,Graduate Engineer Trainee,7 shortlisted,
IG ,,13.63 LPA ,FTE,0,Software,,
Amagi,5/11/2024,18.17 LPA,FTE + Internship (PBC) ,0,Product Software Engineer,29 shortlisted ,
Pluralsight,5/11/2024,"10 LPA, 25k intern",FTE + Internship (PBC) ,0,"Intern - Identity & Asset Management, IT Engineer Intern",,
EY,,8.59 LPA,FTE,0,Associate Consultant,42 shortlisted,
Verint,30/10/2024,"20 LPA, 32k intern",FTE + Internship (PBC) ,0,Software,24 shortlisted for interviews,
Renesas,,"23 LPA, 45k intern",FTE + Internship (PBC) ,0,Hardware,,
Micron Semiconductors ,,13.17 LPA,FTE ,0,Industrial Engineer ,,
Aura Semiconductor,29/10/2024,19 LPA,FTE,0,Digital Design Engineer ,,
Tata Power,,6.9 LPA,FTE,0,"Graduate Engineer Trainee: Chemical, Civil, Civil (Architecture), CS&IT, Cybersecurity, Electrical, Electronics, Environment, Fire and Safety, Instrumentation and Mechanical ",,
DeltaX,,"7 LPA, Unpaid internship",FTE + Internship,0,Associate Product Engineer,,
Thoughtspot,27/10/2024,"24.64 LPA, 1L intern",FTE + Internship,1,SDE ,8 shortlisted for interviews,
iNube,,"12 LPA, 30k intern",FTE + Internship (PBC) ,0,Software,,
PwC,,"6 LPA, 35k intern",FTE + Internship,0,Associate,,
Upswing,,"9 LPA, 30k intern",FTE + Internship,1,SDE 1,16 shortlisted,
SAP Labs,31/10/2024,35k intern,Intern only,0,Software Intern,,
CBA ,4/11/2024,10-12 LPA,FTE,2,Graduate Software Engineer,,
EY (Chevron),7/12/2024,17.7-18.3 LPA,FTE,2,"Software Engineer, Facilities Engineer",42 shortlisted ,
Global Foundries,5/11/2024,"10 LPA, 30k intern",FTE + Internship (PBC) ,2,"IT/Workday Specialist Intern, Supply Chain Intern, Fab Engineering Intern",11 shortlisted,
Infineon,,"7.34 LPA + 1.5 RL + 2.5 JB, 39k intern",FTE + Internship (PBC) ,0,Product Management ,,
Nokia,,8.2 LPA,FTE ,0,"Development Role, Testing Role",,
ClearTrip,8/11/2024,"32.57 LPA, 1L intern",FTE + Internship,2,SDE 1 ,24 shortlisted for interviews,
Larsen & Turbo,,6.5 LPA,FTE,0,Graduate Engineer Trainee,,
Textron,,"6.25 LPA, 25k intern",FTE + Internship (PBC) ,0,Software,,
EPAM ,,"8 LPA, 25k intern",FTE + Internship,0,Software,,
Tech Mahindra,,5.5 LPA,FTE,0,Software,,
Nokia,,25k intern,Intern only,1,Software,7 shortlisted,
Ninjacart,,5.5 - 9 LPA,FTE,0,"Business Operations Associate, Management Associate ",,
Safran,,"5 LPA, 700/day intern",FTE + Internship,0,Software,,
Shadow Fox,22/11/2024,"10 LPA, 20k intern",FTE + Internship ,0,Software,8 shortlisted,
HPE,19/11/2024,"8 LPA, 30k intern",FTE + Internship ,0,Software Developer - Salesforce and Support ,,
Encora,29/11/2024,5-7 LPA,FTE,3,Software Engineer,15 shortlisted,
LG Ad Solutions,26/11/2024,30 LPA,FTE,0,SDE 1,,
TVS Motors,,8 LPA,FTE,0,Software ,,
Gameberry Labs,,"13 LPA, 50k intern",FTE + Internship (PBC) ,0,Software,20 shortlisted,
Rapido ,18/12/2024,18 LPA ,FTE,0,Associate Product Engineer,,
Elitmus,,"9 LPA, 29k intern",FTE + Internship ,0,Associate Consultant,,
Evam Labs,,"7.2 LPA, 30k intern",FTE + Internship (PBC) ,0,"Data Scientist, Full stack, UI interns",13 shortlisted,
Infosys,,3.6 LPA,FTE,0,Systems Engineer,,
GoSwift,,"7-10 LPA, 40k intern",FTE + Internship (PBC) ,0,"Backend Engineer, Frontend Engineer",,
Alcon,26/11/2024,"7.5 LPA, 25k intern",FTE + Internship (PBC) ,1,Software,,
Truva,,"23 LPA, 50k intern",FTE + Internship (PBC) ,1,SDE,,
L&T Finance,,6 LPA,FTE,0,Graduate Engineer Trainee,,
KPMG ,28/11/2024,20k intern,Intern only,3,Consulting Intern,25 shortlisted ,
EXA-AG India Pvt. Ltd. ,,"7 LPA, 15k intern",FTE + Internship,0,Software,,
HPE Finance,,"17 LPA, 40k intern",FTE + Internship (PBC) ,0,ML/AI Engineering Intern,,
AirBus,,"11 LPA, 30k intern",FTE + Internship (PBC) ,0,"Full Stack Web Developer, ⁠Geometry Pre-Processing, Aircraft Performance (UI/UX Design), Avionics Software, Splunk Monitoring For Test Means (System Testing), Load Capabilities, Propulsion DMU VR, ⁠AIML, Computer Vision, Software Engineer",,
Crio,,"8 LPA, 40k intern",FTE + Internship (PBC) ,0,"Software Engineer, Product Engineer ",,
CGI ,,3.92 LPA ,FTE,0,Associate Software Engineer,5 shortlisted ,
Prime Numbers,,"15 LPA, 30k intern",FTE + Internship (PBC) ,0,SDE 1,,
ZopSmart,3/12/2024,"10 LPA, 30k intern",FTE + Internship,0,SDE 1,,
Upswing,,"6 LPA, 25k intern",FTE + Internship,0,Client Success Manager,,
Palo Alto Networks,26/12/2024,"41.96 LPA, 1L intern",FTE + Internship (PBC) ,1,"Data & Platform Engineer, Business Systems Analyst for People Tech, Data Quality Automation Engineer, Software Engineer, Engineer Middleware Technology, Business Systems Analyst, Performance Engineer, IT Software Developer",7 shortlisted ,
Skyworks,,"23.97 LPA, 55k intern",FTE + Internship,0,"Software, Hardware",5 shortlisted ,
Udaan,,"20.5 LPA + 20k USD Esops, 55k intern",FTE + Internship (PBC) ,0,SDE 1,,
Blackbuck,,"8 LPA, 40k intern",FTE + Internship (PBC) ,0,Associate SDE,,
Resollect Technologies,,"5-15 LPA, 15k intern",FTE + Internship (PBC) ,0,,,
Bajaj Finserve,,"12 LPA + Benefits, 35k intern",FTE + Internship (PBC) ,0,Data Science Intern,20 shortlisted ,
Neuron7.ai,13/12/2024,20 LPA,FTE,0,"Software Engineer, Data Scientist",,
Multiplier,18/12/2024,20 LPA,FTE,0,Associate Software Engineer,7 shortlisted ,
Fluidyn,,"6-7 LPA, 20k intern",FTE + Internship (PBC) ,0,"Analysis/technology support, Solver Development, Software Development, Analysis/technology support for enviro-risk",,
AB InBev GCC India    ,,"12 LPA, 30k intern",FTE + Internship (PBC),1,"Junior Data scientist, Junior Machine learning engineer, Software engineer (Backend & Frontend), Cybersecurity Analyst,Junior Developer etc.",,
Sandvine,,"16.37 LPA, 60k intern",FTE ,1,Development and Testing,12 shortlisted ,
WNS Vuram ,,"8 LPA, 25k intern",FTE + Internship (PBC),0,Software Engineer,16 shortlisted ,
ZINGHR  ,,"10 LPA, 30k intern",FTE + Internship ,0,"Associate Software Engineer, Technical Support Executive, Implementation Consultant, Customer Support Executive",25 shortlisted ,
Blackhawk Networks,19/12/2024,"10-12 LPA, 30k intern",FTE + Internship (PBC),1,Software,24 shortlisted ,
Oracle,18/12/2024 ,"19.18 LPA, 50k intern",FTE + Internship (PBC) ,1,Oracle Financing Divsion ,5 shortlisted ,
Argenbright Innovation Labs,19/12/2024 ,"12 LPA, 25k intern",FTE + Internship ,0,,25 shortlisted ,
