batch_year,college,company_name,job_role,tier,internship_stipend_monthly,base_salary,total_ctc,num_fte,num_intern,num_fte_intern,cgpa_cutoff,is_internship,has_ctc_data,has_base_data,has_cgpa_data
2022,PES,Software Test Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Java Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Python Intern,,Internship-Spring,,,,,,,,True,False,False,False
2022,PES,Internship Stipend,Base,Dream,,,,,,,,False,False,False,False
2022,PES,Apple India,Software Engineer,Dream,,16.0,65.0,,5.0,,,False,True,True,False
2022,PES,Eightfold.AI,Business Analyst,Dream,,25.0,60.5,,,,,False,True,True,False
2022,PES,Internship Stipend,Base,Tier-1,,,,,,,,False,False,False,False
2022,PES,HPE (Through Project),,Tier-1,,,11.5,6.0,,,,False,True,False,False
2022,PES,Morgan Stanley(Through Summer Internship),,Tier-1,,13.0,25.0,16.0,,,,False,True,True,False
2022,PES,Groww(Through Summer Internship),,Tier-1,,,20.0,2.0,,,,False,True,False,False
2022,PES,Akamai(Through Summer Internship),,Tier-1,,11.0,18.0,13.0,,,,False,True,True,False
2022,PES,Cisco(Ppo),,Tier-1,,13.0,18.2,3.0,,,,False,True,True,False
2022,PES,Dell(Through Summer Internship),,Tier-1,,,,1.0,,,,False,False,False,False
2022,PES,Goldman Sachs(Through Summer Internship),,Tier-1,,16.0,23.0,5.0,,,,False,True,True,False
2022,PES,Intuit(Through Summer Internship),,Tier-1,,15.0,32.0,3.0,,,,False,True,True,False
2022,PES,Jp Morgan(Through Summer Internship),,Tier-1,,,,9.0,,,,False,False,False,False
2022,PES,Pronisi(Through Summer Internship),,Tier-1,,,,7.0,,,,False,False,False,False
2022,PES,Samsung(Through Summer Internship),,Tier-1,,,,5.0,,,,False,False,False,False
2022,PES,SAP Labs(Through Summer Internship),,Tier-1,,,,2.0,,,,False,False,False,False
2022,PES,Visa(Through Summer Internship),,Tier-1,,15.0,23.0,6.0,,,,False,True,True,False
2022,PES,Walmart(Through Summer Internship),,Tier-1,,16.0,22.62,3.0,,,,False,True,True,False
2022,PES,Zscaler,,Tier-1,,,,4.0,,,,False,False,False,False
2022,PES,Ansys,,Tier-1,,,30.0,,1.0,,,False,True,False,False
2022,PES,Cred,Backend Dev,Tier-1,60.0,20.0,40.0,,2.0,,,False,True,True,False
2022,PES,IBM,Software Dev,Tier-1,30.0,11.0,11.5,,10.0,7.0,,False,True,True,False
2022,PES,Data And Technology Consultant,-,Tier-1,,,,,,,,False,False,False,False
2022,PES,Intuit,Software Engineer,Tier-1,80.0,15.0,32.0,,1.0,,,False,True,True,False
2022,PES,Gameskraft,Software Engineer,Tier-1,50.0,15.0,32.0,,1.0,,,False,True,True,False
2022,PES,Couchbase,Software Engineer R&D,Tier-1,1.25,20.0,30.0,,2.0,,,False,True,True,False
2022,PES,Software Engineer Qe,93k,Tier-1,15.0,25.0,25.0,1.0,,,,False,True,True,False
2022,PES,Technical Support Engineer,93k,Tier-1,15.0,24.0,24.0,1.0,,,,False,True,True,False
2022,PES,Commvault System,Associate Engineer,Tier-1,40.0,13.75,29.25,,4.0,4.0,,False,True,True,False
2022,PES,Razorpay,Software Dev Engineer,Tier-1,,13.8,29.0,,2.0,,,False,True,True,False
2022,PES,Data Associate,,Tier-1,7.0,9.0,1.0,,,,,False,True,True,False
2022,PES,Hevo Data,Software Dev Engineer 1,Tier-1,50.0,15.0,28.0,,7.0,3.0,,False,True,True,False
2022,PES,Udaan,Software Engineer,Tier-1,35.0,20.0,35.0,,3.0,,,False,True,True,False
2022,PES,Morgan Stanley,Technnology Analyst,Tier-1,87.0,13.0,25.33,,3.0,,,False,True,True,False
2022,PES,Citrix,Software Engineer 1,Tier-1,60.0,12.5,23.74,,3.0,5.0,,False,True,True,False
2022,PES,HPE,SDE(R&D),Tier-1,30.0,10.0,11.5,,9.0,10.0,,False,True,True,False
2022,PES,Sde(Aruba),,Tier-1,,,,12.0,1.0,,,False,False,False,False
2022,PES,Sde(Greenlake),-,Tier-1,,10.0,10.0,,,,,False,True,True,False
2022,PES,Codenation Innovation Labs,SDE,Tier-1,1.5,30.0,36.5,,,,,False,True,True,False
2022,PES,Goldman Sachs,Software Engineer,Tier-1,,16.0,23.0,,1.0,,,False,True,True,False
2022,PES,Clumio,Member of Techinal Staff,Tier-1,1.0,20.0,23.4,,,,,False,True,True,False
2022,PES,Navi Technologies,SDE - 1,Tier-1,,20.0,27.0,1.0,3.0,,,False,True,True,False
2022,PES,Komprise,Software Engineer,Tier-1,30.0,17.41,22.0,,1.0,,,False,True,True,False
2022,PES,Software Test Engineer,,Tier-1,15.54,20.0,20.0,1.0,,,,False,True,True,False
2022,PES,Visa,Software Engineer,Tier-1,,15.0,27.0,,9.0,,,False,True,True,False
2022,PES,Technical Product Manager,,Tier-1,15.0,23.0,1.0,,,,,False,True,True,False
2022,PES,Cisco,Software Engineer,Tier-1,65.0,13.0,18.2,,10.0,32.0,,False,True,True,False
2022,PES,Software Engineer Cloud Dev,,Tier-1,,,1.0,3.0,,,,False,True,False,False
2022,PES,Zscaler,Developer,Tier-1,,,20.95,,2.0,,,False,True,False,False
2022,PES,Developer Test,,Tier-1,,17.45,17.45,,2.0,,,False,True,True,False
2022,PES,Dev Ops,,Tier-1,,,,1.0,2.0,,,False,False,False,False
2022,PES,Vm Ware,Member of Techinal Staff,Tier-1,50.0,13.45,27.9,,14.0,1.0,,False,True,True,False
2022,PES,Security Engineer,,Tier-1,,,,1.0,,,,False,False,False,False
2022,PES,Walmart,Software Engineer 2,Tier-1,,16.0,22.62,,8.0,2.0,,False,True,True,False
2022,PES,Playsimple,Associate Software Engineer,Tier-1,20.0,10.0,20.0,,,,,False,True,True,False
2022,PES,Cloudera,Software Engineer,Tier-1,,17.87,22.7,,3.0,,,False,True,True,False
2022,PES,Epsilon,Software Engineer,Tier-1,30.0,9.5,13.0,,14.0,,,False,True,True,False
2022,PES,Sandvine Technologies,Software Engineer,Tier-1,45.0,12.5,15.25,,3.0,,,False,True,True,False
2022,PES,Software Test Engineer,,Tier-1,,,,2.0,,,,False,False,False,False
2022,PES,Ushur,Software Developer,Tier-1,50.0,,9.5,,2.0,3.0,,False,True,False,False
2022,PES,Sixt R&D,SDE - 1,Tier-1,40.0,,12.15,,3.0,,,False,True,False,False
2022,PES,Arista Networks,Software Engineer,Tier-1,65.0,13.5,25.0,3.0,,,,False,True,True,False
2022,PES,Amagi Media Labs,Software Engineer,Tier-1,40.0,14.0,17.0,,7.0,,,False,True,True,False
2022,PES,Vymo,Member of Techinal Staff,Tier-1,50.0,,17.0,,7.0,,,False,True,False,False
2022,PES,Makemytrip,Software Engineer,Tier-1,,12.0,18.0,,4.0,,,False,True,True,False
2022,PES,PwC,Technology Consulting,Tier-1,40.0,7.0,9.08,,67.0,,,False,True,True,False
2022,PES,Cure.Fit,Software Engineer,Tier-1,,20.0,29.5,1.0,,,,False,True,True,False
2022,PES,Akamai Technologies,Software Engineer,Tier-1,35.0,12.31,18.33,,1.0,,,False,True,True,False
2022,PES,Site Reliability Engineer,,Tier-1,,,,2.0,,,,False,False,False,False
2022,PES,Software Engineer,,Tier-1,12.31,18.33,18.33,5.0,,,,False,True,True,False
2022,PES,Infibeam,Software Engineer,Tier-1,20.0,10.0,11.0,,2.0,,,False,True,True,False
2022,PES,Pluribus Networks,SDE,Tier-1,75.0,,15.0,,1.0,,,False,True,False,False
2022,PES,Sde Qa,,Tier-1,,,,1.0,,,,False,False,False,False
2022,PES,Network Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Hiver (Female Only),Software Engineer,Tier-1,21.5,,9.0,,2.0,,,False,True,False,False
2022,PES,Amadeus Labs,Software Engineer,Tier-1,30.0,7.75,9.3,,3.0,1.0,,False,True,True,False
2022,PES,Schneider Electric,(Multiple Roles),Tier-1,25.0,7.5,10.5,6.0,20.0,,,False,True,True,False
2022,PES,Cybersecurity,,Tier-1,,,,,,22330.0,,False,False,False,False
2022,PES,Lam Research,SDE,Tier-1,,,15.79,,2.0,,,False,True,False,False
2022,PES,Electrical Enginner,,Tier-1,,,,3.0,1.0,,,False,False,False,False
2022,PES,Mechanical Engineer,,Tier-1,,11.75,11.75,2.0,1.0,,,False,True,True,False
2022,PES,Samsung R&D,Advanced Dev (Senior Engineer),Tier-1,50.0,19.0,40.0,,10.0,10.0,,False,True,True,False
2022,PES,Advanced Dev (Engineer),,Tier-1,14.0,20.0,20.0,,,,,False,True,True,False
2022,PES,Design,,Tier-1,14.0,20.0,20.0,4.0,2.0,,,False,True,True,False
2022,PES,Natwest (Female Only),Software Engineer,Tier-1,,10.5,10.5,,18.0,,,False,True,True,False
2022,PES,Affinsys AI,Software Engineer,Tier-1,30.0,,14.0,,5.0,,,False,True,False,False
2022,PES,Mercedes Benz R&D,Graduate Engineer Trainee,Tier-1,25.0,,10.0,2.0,17.0,,,False,True,False,False
2022,PES,Graduate Engineer Trainee (Trucks Division),,Tier-1,,,,6.0,,,,False,False,False,False
2022,PES,Zee Entertainment Enterprises Limited,"Associate Software 
Development Engineer",Tier-1,,12.6,15.0,11.0,18.0,,,False,True,True,False
2022,PES,Shadowfax Technologies,SDE (Back end),Tier-1,,,14.0,,4.0,,,False,True,False,False
2022,PES,Sde (Front End),,Tier-1,,,,,,,,False,False,False,False
2022,PES,Android Dev,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Devops,,Tier-1,,11.0,11.0,,,,,False,True,True,False
2022,PES,Data Engineer,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Sling Media,Software Engineer,Tier-1,,11.0,12.72,,8.0,,,False,True,True,False
2022,PES,Idfc First Bank,Application Engineer,Tier-1,,11.0,15.0,5.0,,,,False,True,True,False
2022,PES,Management Trainee,,Tier-1,,,1.0,,,,,False,True,False,False
2022,PES,​Infineon Technologies,Engineer,Tier-1,32.0,,12.22,,,,,False,True,False,False
2022,PES,Mentor Graphics,Member Technical Staff,Tier-1,30.0,11.5,16.3,,1.0,,,False,True,True,False
2022,PES,Hfcl,Graduate Engineer Trainee,Tier-1,,9.0,10.0,6.0,,,,False,True,True,False
