batch_year,college,source_file,company_name,job_role,placement_tier,internship_stipend,base_salary,total_ctc,num_offers_fte,num_offers_intern,num_offers_both,test_date,interview_date,ppt_date,additional_info,stocks_esops,joining_bonus,cgpa_cutoff,visit_date,oa_date,placement_type,num_offers_total,allows_ece,allows_mca,allows_mtech,has_internship,has_stocks,has_joining_bonus,salary_category,role_type,academic_year
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Kpmg,Analyst,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Think 41,Full Stack Engineer,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Superleap,Technical Product Analyst,Tier-2,25000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Gkn Aerospace,Graduate Trainee,Tier-2,,,,,,,,,,,,,8.0,,,,,,,,False,False,False,,Intern/Trainee,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Webknot Technologies,Software Developer Trainee,Tier-2,15000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Krazybee Services,Software Engineer,Tier-2,25000.0,,,,,,,,,,,,8.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Digital.Ai,nan,Tier-2,25000.0,,,,,,,,,,,,7.5,,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Jar App,Data Analyst,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,Data Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Media.Net,Web Application Developer,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Tsalla Aerospace,Junior Engineer,Tier-2,25000.0,,,,,,,,,,,,6.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Kreditbee,Software Engineer,Tier-2,25000.0,,,,,,,,,,,,8.0,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Tyfone,Software Engineer,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Merkle,Software Engineer,Tier-2,,,,,,,,,,,,,8.5,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Creditaccess Grameen Limited,Data Analyst,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Data Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Goldman Sachs,Engineering Analyst,Tier-2,,,,,,,,,,,,,6.5,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Snapmint,Junior Analyst,Tier-2,,,,,,,,,,,,,7.5,,,,,,,,False,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Bce Global Tech,Dev,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Esyasoft Technologies,Software Engineer Trainee,Tier-2,,,,,,,,,,,,,7.5,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Acciojob,Data Engineer,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,SDE-Data,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Thoucentric,Supply Chain Consultant,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Happiest Minds Technologies,Software Engineer,Tier-2,,,,,,,,,,,,,8.0,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Edu-Versity,Business Development Specialist,Tier-2,30000.0,,,,,,,,,,,,6.0,,,,,,,,True,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Orange Business,Graduate Engineer Trainee,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Edu-Versity,Business Development Specialist,Tier-2,30000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Gnani.Ai,Backend Developer (Python),Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Scaler,Business Development Associate,Tier-2,,,,,,,,,,,,,,,,,,,,,False,False,False,,Business Analyst,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Infosys,Specialist Programmer,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Cevo Technology,Software Engineer,Tier-2,,,,,,,,,,,,,7.0,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Cloudinvent,Full Stack Developer,Tier-2,40000.0,,,,,,,,,,,,,,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Sonata Software,Trainee Digital Technology Specialist,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,Hardware/Embedded,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Whitefield Careers,Graduate Engineer Trainee,Tier-2,,,,,,,,,,,,,6.0,,,,,,,,False,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 2.csv,Trigent,Associate Software Engineer,Tier-2,,,,,,,,,,,,,8.0,,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Phonepe,Software Engineer,Tier-1,80000.0,,,,,,,,,,,,6.0,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Couchbase,Dev,Tier-1,125000.0,,,,,,,,,,,,8.0,Jul 2024,,,,,,,True,False,False,,Other,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Cisco,Software Engineer,Tier-1,98000.0,,,,,,,,,,,,,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Zomato,Software Development Engineer - 1,Tier-1,60000.0,,,,,,,,,,,,9.0,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Stockx,Associate Software Engineer,Tier-1,60000.0,,,,,,,,,,,,9.5,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Vyapar App,Software Engineer - 1,Tier-1,50000.0,,,,,,,,,,,,9.0,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Okta,Software Engineer,Tier-1,100000.0,,,,,,,,,,,,8.0,Jul 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Lam Research,Software Engineer - 1,Tier-1,,,,,,,,,,,,,6.5,Aug 2024,,,,,,,False,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Idfc First Bank,Application Engineer,Tier-1,40000.0,,,,,,,,,,,,6.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Arista Networks,Software Engineer,Tier-1,65000.0,,,,,,,,,,,,7.5,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Cbx1,Software Engineer,Tier-1,50000.0,,,,,,,,,,,,9.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Ibm,Software Developer (Systems),Tier-1,30000.0,,,,,,,,,,,,7.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Societe Generale,Software Engineer,Tier-1,32500.0,,,,,,,,,,,,7.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Jpmorgan Chase & Co.,Software Engineer,Tier-1,75000.0,,,,,,,,,,,,8.5,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Cloudera,Software Engineer - 1,Tier-1,45000.0,,,,,,,,,,,,9.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Schneider Electric,Graduate Engineer Trainee,Tier-1,35000.0,,,,,,,,,,,,7.0,Aug 2024,,,,,,,True,False,False,,SDE-ML/AI,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Singularity Dynamics,Software Development Engineer,Tier-1,30000.0,,,,,,,,,,,,8.5,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Walmart,Software Development Engineer - 2,Tier-1,100000.0,,,,,,,,,,,,9.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Typeface,Software Engineer,Tier-1,50000.0,,,,,,,,,,,,8.5,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Egnyte,Software Engineer,Tier-1,50000.0,,,,,,,,,,,,7.5,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Infibeam,Software Development Engineer,Tier-1,20000.0,,,,,,,,,,,,8.7,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Netradyne,Software Development Engineer in Test,Tier-1,35000.0,,,,,,,,,,,,7.5,Aug 2024,,,,,,,True,False,False,,SDE-Test,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,D. E. Shaw,Software Development Engineer in Test,Tier-1,150000.0,,,,,,,,,,,,7.0,Aug 2024,,,,,,,True,False,False,,SDE-Test,2021-2025
2025,PES,PESU CSE Placements 2025 Batch - Tier 1.csv,Meesho,Software Development Engineer,Tier-1,45000.0,,,,,,,,,,,,7.0,Aug 2024,,,,,,,True,False,False,,SDE-Core,2021-2025
