Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,IG Group,10-09-2024,FALSE,Tier 1,13,12,,Jr. Leadership Role,FTE,,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Cognizant (T2),12-09-2024,FALSE,Tier 2,7,5,,,,11,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Goldman Sachs (T2),10-09-2024,FALSE,Tier 2,8.75,,60000,Seasonal Analyst Intern,Internship (PBC),8,6.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Signify Innovation Lab,01-10-2024,FALSE,Tier 1,13,11,30000,Assistant Development Engineer,FTE + Intern,2,9,FALSE,FALSE,FALSE,"Selected 15 girls for direct interview, Offered jobs to 2 ppl",Cross-College companies info - PES.csv
2025,PES,Eurofins (T2),18-09-2024,TRUE,Tier 2,10,,75000,Associate Software Engineer,FTE,9,6.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Urban Company,14-09-2024,FALSE,Tier 1,22,16,,SDE 1,FTE + Intern,2,7,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,IBM (2nd Visit) - Cloud Role,18-09-2024,FALSE,Tier 1,17,,30000,SDE (Cloud),FTE + Intern,2,7,FALSE,FALSE,FALSE,2nd Visit,Cross-College companies info - PES.csv
2025,PES,Tejas Networks (T2),20-09-2024,TRUE,Tier 2,10,,30000,"SW, HW and NMS",FTE + Intern,0,7.5,FALSE,FALSE,FALSE,"Shortlisted 11 for Embedded SE role, 6 for HW role (ECE), 6 for Java NMS role. Programming languages were fixed for those particular test (Cpp only for Embedded, etc.)",Cross-College companies info - PES.csv
2025,PES,StockX (Product Mang Role),20-09-2024,FALSE,Tier 1,,,,,,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Superjoin.ai,20-09-2024,FALSE,Tier 1,16,11,,,,1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,HPE (2nd Visit) (Only Selected Students),27-09-2024,FALSE,Tier 1,17.5,,40000,,FTE + Intern,7,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Coinbase,21-09-2024,FALSE,Tier 1,,,100000,SDE,Internship (PBC),0,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Nvidia,25-09-2024,FALSE,Tier 1,,,80000,Hardware Engineering Intern,Internship (PBC),0,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Samsung Semiconductors,23-09-2024,FALSE,Tier 1,19,,50000,"SW(Embd),HW(Dig,Analog)",Internship (PBC),0,7,FALSE,FALSE,FALSE,"Initally was FTE+Int, but hired only Interns, Coding questions strictly to be coded in C Language itself, Shortlisted 6 for Embd (CSE), 7 for Dig & 5 for Analog (ECE), Virtual Interviews Conducted",Cross-College companies info - PES.csv
2025,PES,NXP Semiconductors,23-09-2024,FALSE,Tier 1,22.5,,45200,"Embedded, Digital, Analog",FTE + Intern,1,7.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Dish Network,19-09-2024,TRUE,Tier 1,14.1,,25000,SDE,FTE + Intern,4,8.5,FALSE,FALSE,FALSE,Shortlisted 22 People,Cross-College companies info - PES.csv
2025,PES,Apple Internship (only for Pre-Listed students),27-09-2024,FALSE,Tier 1,,,80000,"Ai-ML, SDE",Internship (PBC),0,9,FALSE,FALSE,FALSE,Shortlisted 4 PPL for Data Science (ML) role and 8 for Software Dev Engineering role,Cross-College companies info - PES.csv
